epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,78.7389,0.75512,1.7302,1.17372,0.84804,0.5,0.58083,0.32409,1.24977,1.97161,2.20189,0.000385626,0.000385626,0.000385626
71,80.0316,0.67269,1.3838,1.10636,0.84804,0.5,0.58083,0.32409,1.24977,1.97161,2.20189,0.000389083,0.000389083,0.000389083
72,81.3836,0.72109,1.9239,1.10709,0.86314,0.5,0.58083,0.37761,1.14164,1.96912,2.06203,0.000392479,0.000392479,0.000392479
73,82.6505,0.55257,1.27115,1.02895,0.86314,0.5,0.58083,0.37761,1.14164,1.96912,2.06203,0.000395815,0.000395815,0.000395815
74,83.7254,0.53341,1.48462,1.06989,0.86314,0.5,0.58083,0.37761,1.14164,1.96912,2.06203,0.000399089,0.000399089,0.000399089
75,84.624,0.67346,1.5146,1.09818,0.86675,0.5,0.705,0.4991,0.97423,1.94384,1.86558,0.000402303,0.000402303,0.000402303
76,85.5098,0.70241,1.37817,1.0264,0.86675,0.5,0.705,0.4991,0.97423,1.94384,1.86558,0.000405455,0.000405455,0.000405455
77,86.3314,0.56939,1.13932,1.08194,0.86675,0.5,0.705,0.4991,0.97423,1.94384,1.86558,0.000408547,0.000408547,0.000408547
78,87.2963,0.67043,1.97626,1.16687,0.86955,0.47821,0.705,0.49375,1.21849,1.72135,2.09749,0.000411578,0.000411578,0.000411578
79,88.1477,0.59695,1.3734,1.01554,0.86955,0.47821,0.705,0.49375,1.21849,1.72135,2.09749,0.000414548,0.000414548,0.000414548
80,89.0164,0.48784,1.5388,0.94699,0.86955,0.47821,0.705,0.49375,1.21849,1.72135,2.09749,0.000417457,0.000417457,0.000417457
81,89.9258,0.82073,1.41323,1.21413,0.87092,0.48366,0.62208,0.33117,1.58592,1.79165,2.67777,0.000420305,0.000420305,0.000420305
82,90.8409,0.62605,1.30253,1.13452,0.87092,0.48366,0.62208,0.33117,1.58592,1.79165,2.67777,0.000423092,0.000423092,0.000423092
83,91.7031,0.61093,1.23715,1.0093,0.87092,0.48366,0.62208,0.33117,1.58592,1.79165,2.67777,0.000425818,0.000425818,0.000425818
84,92.5743,0.39573,1.18041,0.88713,0.34073,0.72021,0.705,0.23379,1.8112,2.11413,2.98119,0.000428483,0.000428483,0.000428483
85,93.5976,0.61717,1.33215,1.11933,0.34073,0.72021,0.705,0.23379,1.8112,2.11413,2.98119,0.000431088,0.000431088,0.000431088
86,94.828,0.53142,1.43424,0.95363,0.34073,0.72021,0.705,0.23379,1.8112,2.11413,2.98119,0.000433631,0.000433631,0.000433631
87,96.0926,0.58734,1.43749,1.08102,0.34073,0.72021,0.705,0.23379,1.8112,2.11413,2.98119,0.000436114,0.000436114,0.000436114
88,97.3821,0.57587,1.34979,1.00469,0.95666,0.16667,0.30676,0.17862,1.77998,2.07051,2.92655,0.000438536,0.000438536,0.000438536
89,98.6078,0.81459,1.42572,1.22145,0.95666,0.16667,0.30676,0.17862,1.77998,2.07051,2.92655,0.000440897,0.000440897,0.000440897
90,99.7835,0.68868,1.64499,1.06209,0.95666,0.16667,0.30676,0.17862,1.77998,2.07051,2.92655,0.000443197,0.000443197,0.000443197
91,100.672,0.67315,1.61246,1.08852,0.95666,0.16667,0.30676,0.17862,1.77998,2.07051,2.92655,0.000445436,0.000445436,0.000445436
92,101.585,0.71299,1.28391,1.15725,0.9673,0.16667,0.32647,0.20148,1.87807,2.23288,2.93371,0.000447614,0.000447614,0.000447614
93,102.47,0.7802,1.38554,1.18342,0.9673,0.16667,0.32647,0.20148,1.87807,2.23288,2.93371,0.000449731,0.000449731,0.000449731
94,103.352,0.72229,1.93463,1.25484,0.9673,0.16667,0.32647,0.20148,1.87807,2.23288,2.93371,0.000451787,0.000451787,0.000451787
95,104.252,0.86268,1.36833,1.172,0.9673,0.16667,0.32647,0.20148,1.87807,2.23288,2.93371,0.000453783,0.000453783,0.000453783
96,105.129,0.61729,1.36349,1.08001,0.74608,0.33333,0.37491,0.22008,2.04663,2.21237,3.08635,0.000455717,0.000455717,0.000455717
97,106.043,0.59817,1.31993,1.02921,0.74608,0.33333,0.37491,0.22008,2.04663,2.21237,3.08635,0.000457591,0.000457591,0.000457591
98,106.934,0.748,1.62184,1.13048,0.74608,0.33333,0.37491,0.22008,2.04663,2.21237,3.08635,0.000459403,0.000459403,0.000459403
99,107.816,0.72345,1.21438,1.12431,0.74608,0.33333,0.37491,0.22008,2.04663,2.21237,3.08635,0.000461155,0.000461155,0.000461155
100,108.762,0.56701,1.20757,1.00111,1,0.31557,0.39273,0.16885,2.21548,2.27724,3.34094,0.000462846,0.000462846,0.000462846
101,109.783,0.65051,1.53448,1.12656,1,0.31557,0.39273,0.16885,2.21548,2.27724,3.34094,0.000464476,0.000464476,0.000464476
102,110.99,0.63933,1.19534,1.1365,1,0.31557,0.39273,0.16885,2.21548,2.27724,3.34094,0.000461431,0.000461431,0.000461431
103,112.195,0.60787,1.31264,1.04321,1,0.31557,0.39273,0.16885,2.21548,2.27724,3.34094,0.000458386,0.000458386,0.000458386
104,113.482,0.756,1.54384,1.13434,0.82806,0.32279,0.30868,0.09259,2.85857,1.86546,4.37109,0.00045534,0.00045534,0.00045534
105,114.826,0.68982,1.29688,1.16683,0.82806,0.32279,0.30868,0.09259,2.85857,1.86546,4.37109,0.000452295,0.000452295,0.000452295
106,115.997,0.57379,1.21506,1.03173,0.82806,0.32279,0.30868,0.09259,2.85857,1.86546,4.37109,0.00044925,0.00044925,0.00044925
107,117.147,0.56466,1.19085,1.05876,0.82806,0.32279,0.30868,0.09259,2.85857,1.86546,4.37109,0.000446205,0.000446205,0.000446205
108,118.083,0.59023,1.23076,1.08364,0.82373,0.31413,0.30302,0.09774,2.7573,1.75187,4.22182,0.000443159,0.000443159,0.000443159
109,118.921,0.77245,1.51172,1.11507,0.82373,0.31413,0.30302,0.09774,2.7573,1.75187,4.22182,0.000440114,0.000440114,0.000440114
110,119.779,0.58951,1.12449,1.06037,0.82373,0.31413,0.30302,0.09774,2.7573,1.75187,4.22182,0.000437069,0.000437069,0.000437069
111,120.679,0.65459,1.45775,1.07604,0.82373,0.31413,0.30302,0.09774,2.7573,1.75187,4.22182,0.000434024,0.000434024,0.000434024
112,121.605,0.4534,1.23843,0.99343,0.98845,0.5,0.51823,0.12662,2.62038,1.92377,3.64997,0.000430978,0.000430978,0.000430978
113,122.497,0.42468,1.13309,1.0099,0.98845,0.5,0.51823,0.12662,2.62038,1.92377,3.64997,0.000427933,0.000427933,0.000427933
114,123.409,0.66747,1.3936,1.23372,0.98845,0.5,0.51823,0.12662,2.62038,1.92377,3.64997,0.000424888,0.000424888,0.000424888
115,124.283,0.81231,1.27318,1.15489,0.98845,0.5,0.51823,0.12662,2.62038,1.92377,3.64997,0.000421843,0.000421843,0.000421843
116,125.182,0.53943,1.20464,1.03644,0.86688,0.5,0.55575,0.17371,2.13181,2.03113,2.85479,0.000418797,0.000418797,0.000418797
117,126.049,0.51487,1.12846,1.02035,0.86688,0.5,0.55575,0.17371,2.13181,2.03113,2.85479,0.000415752,0.000415752,0.000415752
118,127.095,0.61039,1.34387,1.07104,0.86688,0.5,0.55575,0.17371,2.13181,2.03113,2.85479,0.000412707,0.000412707,0.000412707
119,128.335,0.58764,1.3667,1.1934,0.86688,0.5,0.55575,0.17371,2.13181,2.03113,2.85479,0.000409662,0.000409662,0.000409662
120,129.651,0.55795,1.53105,1.10998,0.86553,0.5,0.66375,0.26123,1.6828,2.21956,2.32805,0.000406616,0.000406616,0.000406616
121,131.002,0.59686,1.22516,1.02368,0.86553,0.5,0.66375,0.26123,1.6828,2.21956,2.32805,0.000403571,0.000403571,0.000403571
122,132.362,0.47826,1.14032,0.96424,0.86553,0.5,0.66375,0.26123,1.6828,2.21956,2.32805,0.000400526,0.000400526,0.000400526
